gene	intercept	intercept_err	x_coeff	x_coeff_err	x_pval	x_adj_pval	adj.r.sq	reg_pval	reg_adj_pval	deltaEx	deltaEx_err	deltaEx_95_CI_lo	deltaEx_95_CI_hi	region
CCDC120	395.435006904381	25.2077771367836	-12.0335448217166	12.4285953786822	0.339774647040163	0.577181722623071	0.441600558277207	0.000375950903625177	0.00102453795873426	-0.0304311571095334	0.0314899937952785	-0.0921515449482793	0.0312892307292126	NPX
CCDC22	1352.73319846321	60.5338260609383	24.2631825448029	28.726177810995	0.404218111132312	0.632920463483488	0.481163124684382	0.000127952154750772	0.000419072653633261	0.0179364139006623	0.0212508199573512	-0.0237151932157461	0.0595880210170706	NPX
CD99	6892.33666587115	698.136252279152	1305.16262777967	363.481813306874	0.00102812278085581	0.00780935814394733	0.517005272314742	4.39595786459372e-05	0.000170582278006517	0.189364317364597	0.0561169580240389	0.0793750796374809	0.299353555091713	PAR1
CD99L2	1925.33071056815	111.279650042353	129.248486929642	69.7124904706077	0.0724280760003602	0.206854585057029	0.204490345351867	0.0444618962664657	0.0585715755244585	0.0671305382603601	0.0364153532022439	-0.00424355401603792	0.138504630536758	NPX
CDK16	3344.27136342706	156.108693939691	355.450407780451	94.7303061304748	0.000654670969391336	0.00570042770909041	0.278981566894086	0.0129537363438572	0.0210203812488955	0.106286353334737	0.02875735888117	0.0499219299276439	0.16265077674183	NPX
CDKL5	708.872806491081	101.519769692426	-103.875745609112	64.8738668852452	0.118585493151443	0.276699484020035	0.139041596301516	0.110586066514059	0.133827883883116	-0.146536507900898	0.0938922711587113	-0.330565359371972	0.0374923435701766	NPX
CENPI	1155.37800075453	91.6883967136815	-19.7218093370369	45.6153190229705	0.668216563792571	0.809950499471842	0.430761832194513	0.000496626332952906	0.00127226301786077	-0.0170695731822463	0.0395040933969833	-0.0944975962403335	0.0603584498758409	NPX
CETN2	1354.29368222428	63.832326223628	19.1202818733958	28.7455436220117	0.510437613607197	0.709988463696292	0.538983370561241	2.17513061911716e-05	9.46977598810765e-05	0.0141182685294616	0.02123591605477	-0.0275041269378876	0.0557406639968109	NPX
CFP	440.662359063975	63.6676264055035	-69.997277178709	40.2826514335296	0.091323572243664	0.239724377139618	0.124101318532169	0.133227148380259	0.15801359459054	-0.158845600807367	0.0942507861209539	-0.343577141604437	0.0258859399897022	NPX
CHIC1	918.481929465954	76.2449576444789	-8.47310723392255	29.2318451736445	0.773684703038513	0.867588135833437	0.6874246842212	5.0680916225671e-08	5.83647970727888e-07	-0.00922512132475942	0.0318354723713575	-0.07162264717262	0.0531724045231012	NPX
