2703_XX	3429_XXY	3442_XXY	6029_XX	7089B_XXY	7194A_XXY	7205B_XX	7246B_XX	7249B_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7304B_XXYY	7307A_XXY	7367A_XX_tri21	7368A_XX	7369A_XX_tri21	7370A_XX_tri21	7372A_XX_tri21	7389A_XX	7478A_XXYY
ATG4A	NA	NA	0.323817076394396	0.103448275862069	NA	NA	0.291578576462298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP11C	NA	NA	NA	NA	NA	0.152173913043478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.144736842105263	0.16
ATP6AP1	NA	NA	NA	0.167730575731774	NA	0.20929545215082	NA	NA	0.216023083636014	NA	0.0286427145708582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP6AP2	NA	NA	0.301960784313725	0.125448028673835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATP7A	NA	NA	0.353709508881923	NA	NA	NA	NA	NA	0.256534954407295	0.114186127570582	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ATRX	NA	NA	0.313725490196078	NA	0.4375	0.163265306122449	0.9375	0.692307692307692	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCAP31	NA	NA	NA	0.159340659340659	NA	NA	NA	NA	NA	NA	NA	0.36	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BCOR	NA	NA	0.5	NA	NA	NA	0.136363636363636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	0.289473684210526
BEX2	NA	NA	0.136363636363636	0.333333333333333	NA	NA	NA	NA	0.411764705882353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.255813953488372
BEX4	NA	NA	NA	0.483333333333334	NA	NA	NA	NA	0.178807947019868	0.0714285714285714	NA	0.0275229357798165	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA
BRCC3	0.103448275862069	NA	NA	NA	NA	NA	NA	NA	0.163265306122449	0.179487179487179	NA	0.0857142857142857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BRWD3	NA	NA	NA	NA	NA	0.555555555555556	0.3	NA	0.1875	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.380952380952381	0.375
BTK	NA	NA	0.470790378006873	0.169511842517409	NA	0.130177514792899	0.284351289657216	NA	NA	0.0980302631578948	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.161256064148003	0.393767705382436
C1GALT1C1	NA	NA	NA	NA	NA	0.263027852650494	NA	0.048151001540832	NA	NA	0.0217391304347826	0.0803047286918255	NA	NA	NA	NA	NA	NA	NA	NA	0.215189873417722	0.277777777777778
