2703_XX	3429_XXY	3442_XXY	6029_XX	7089B_XXY	7194A_XXY	7205B_XX	7246B_XX	7249B_XX	7271A_XX	7272A_XX	7273A_XX	7275A_XX	7304B_XXYY	7307A_XXY	7367A_XX_tri21	7368A_XX	7369A_XX_tri21	7370A_XX_tri21	7372A_XX_tri21	7389A_XX	7478A_XXYY
EIF2S3	NA	NA	NA	0.208299629478069	NA	NA	0.0666673301960627	NA	NA	0.0776257979210319	0.166491777487623	NA	NA	NA	NA	0.483294930875576	NA	0.277168179203936	0.173121860888394	NA	0.442956597992759	0.345908122908427
ELF4	NA	NA	0.0533061462277894	NA	NA	0	NA	0	0	0	0	0.0295031055900622	NA	NA	NA	NA	NA	NA	NA	NA	0.000285609507103254	NA
ERCC6L	NA	NA	NA	NA	NA	NA	0.0462215700660311	NA	NA	NA	NA	0.000164392569455632	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0931574608408901	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAAH2	NA	NA	0.469964664310954	NA	NA	NA	NA	NA	0.336407377706496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0218351634481886	0.0617280922340536
FAM104B	NA	NA	NA	NA	NA	NA	NA	NA	0.0272373540856033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FAM199X	NA	NA	0.25575101488498	NA	NA	0.011627906976744	0.0407673860911275	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
FAM3A	NA	NA	0.0725675235925804	NA	NA	NA	NA	0.0656754562803579	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FAM50A	NA	NA	NA	0.0131578947368419	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FANCB	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.14004914004914
FHL1	0.2	NA	NA	NA	NA	NA	NA	NA	0.328859060402685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FLNA	NA	NA	NA	0	NA	0	NA	0.365079365079366	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0387833265161937
FMR1	NA	NA	0.224819466785311	NA	NA	0	0.117759877253548	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA
FTX	NA	NA	NA	NA	NA	NA	NA	NA	0.137931034482758	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FUNDC1	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0.313786650031191	NA	NA	NA	NA	NA	NA	NA	0.303370786516854	NA	NA
G6PD	NA	NA	NA	NA	NA	NA	NA	0.0211810012836971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GDI1	NA	NA	NA	0	NA	0	NA	NA	0.0515005557613934	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GEMIN8	NA	0.169491525423729	1	NA	NA	NA	NA	0.206833435021355	0.736842105263158	0.0245437382001255	NA	0.0371389270976616	0.2	0.307692307692308	0.0943396226415094	NA	NA	NA	NA	NA	NA	NA
GK	NA	NA	0.124630150826297	NA	NA	0.0195095062531628	0.0872749346240045	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GLA	NA	NA	NA	0.0581121934833723	NA	NA	NA	NA	NA	0.0391722099039172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
