Sample.Name	Gene.name	AR_mean	Num_snps	skewing_coeff	AR_adj	Skewed_XCI
7086A_XXY	BTK	0.310810810810811	1	0.8	0.0659340659340662	TRUE
7086A_XXY	HCFC1	0.278314768787014	3	0.8	0.0304322015731412	TRUE
7086A_XXY	ZMYM3	0.181818181818182	1	0.8	0	TRUE
7086A_XXY	MAP7D3	0.299090157154673	3	0.8	0.0530573931700341	TRUE
7086A_XXY	FAM3A	0.466666666666667	1	0.8	0.245283018867925	TRUE
7086A_XXY	ZBTB33	0.245484400656814	3	0.8	0	TRUE
7086A_XXY	ATP11C	0.202274754683318	2	0.8	0	TRUE
7086A_XXY	BRCC3	0.137931034482759	1	0.8	0	TRUE
7086A_XXY	MED12	0.378378378378378	1	0.8	0.141791044776119	TRUE
7086A_XXY	ERCC6L	0.305555555555555	2	0.8	0.0601503759398496	TRUE
7086A_XXY	CUL4B	0.272727272727273	1	0.8	0.0243902439024394	TRUE
7086A_XXY	ZNF449	0.375	1	0.8	0.137931034482759	TRUE
7086A_XXY	ACSL4	0.429314708339476	3	0.8	0.200874278960706	TRUE
7086A_XXY	ARMCX3	0.175	1	0.8	0	TRUE
7086A_XXY	ATP7A	0.277849927849928	3	0.8	0.0299288608036596	TRUE
7086A_XXY	IGBP1	0.226782752902156	2	0.8	0	TRUE
7086A_XXY	RPL10	0.368238421681559	4	0.8	0.130227074802973	TRUE
7086A_XXY	CD99L2	0.218668953043953	3	0.8	0	TRUE
7086A_XXY	XIAP	0.237189423358201	9	0.8	0	TRUE
7086A_XXY	SASH3	0.241387842587193	2	0.8	0	TRUE
7086A_XXY	OCRL	0.4	1	0.8	0.166666666666667	TRUE
7086A_XXY	LAGE3	0.273485513608428	2	0.8	0.0252090941218048	TRUE
7086A_XXY	CHM	0.533936651583711	3	0.8	0.327676240208878	TRUE
7086A_XXY	FLNA	0.358522516678223	6	0.8	0.119207126420816	TRUE
7086A_XXY	RAB39B	0.425	1	0.8	0.195804195804196	TRUE
7086A_XXY	DKC1	0.223719676549865	1	0.8	0	TRUE
7086A_XXY	G6PD	0.166666666666667	1	0.8	0	TRUE
7086A_XXY	UBL4A	0.192571170236813	3	0.8	0	TRUE
7086A_XXY	PLXNA3	0.5	1	0.8	0.285714285714286	TRUE
7086A_XXY	ATP6AP1	0.506666666666667	1	0.8	0.293893129770993	TRUE
7086A_XXY	ZNF275	0.31547619047619	6	0.8	0.0710823909531503	TRUE
7086A_XXY	NSDHL	0.298188175460902	2	0.8	0.0520698271494687	TRUE
7086A_XXY	MTMR1	0.316831683168317	1	0.8	0.0725806451612906	TRUE
7086A_XXY	SLC9A6	0.409090909090909	1	0.8	0.177215189873418	TRUE
7086A_XXY	MBNL3	0.247908832845003	5	0.8	0	TRUE
7086A_XXY	TSC22D3	0.234042553191489	1	0.8	0	TRUE
7086A_XXY	PRPS1	0.191304347826087	1	0.8	0	TRUE
7086A_XXY	RBM41	0.321428571428571	1	0.8	0.077669902912621	TRUE
7086A_XXY	TCEAL4	0.208494208494208	1	0.8	0	TRUE
7086A_XXY	BEX2	0.75	1	0.8	0.615384615384615	TRUE
7086A_XXY	BEX4	0.375	1	0.8	0.137931034482759	TRUE
7086A_XXY	CENPI	0.267058823529412	2	0.8	0.0182792310116612	TRUE
7086A_XXY	TRMT2B	0.25	1	0.8	7.40148683083438e-17	TRUE
7086A_XXY	CSTF2	0.389317889317889	2	0.8	0.154339689894849	TRUE
7086A_XXY	APOOL	0.307345238095238	5	0.8	0.0621181689518768	TRUE
7086A_XXY	ITM2A	0.159574468085106	1	0.8	0	TRUE
7086A_XXY	ATRX	0.178125	2	0.8	0	TRUE
7086A_XXY	UPRT	0.205882352941176	1	0.8	0	TRUE
7086A_XXY	CHIC1	0.285714285714286	1	0.8	0.0384615384615388	TRUE
7086A_XXY	OGT	0.302458097168553	4	0.8	0.0567491577346375	TRUE
7086A_XXY	KIF4A	0.309615384615385	2	0.8	0.0646169880145909	TRUE
7086A_XXY	SPIN3	0.428571428571429	1	0.8	0.200000000000001	TRUE
7086A_XXY	XIST	0.282433885983458	3	0.8	0.0348979789343038	TRUE
7086A_XXY	GDI1	0.333333333333333	1	0.8	0.0909090909090906	TRUE
